T1 fixation
18.18596:1691,410;
18.20285:1691,410;
18.21851:1702,419;
18.23653:1707,435;
18.2531:1707,435;
18.26976:1707,435;
18.28487:1711,443;
18.30058:1711,443;
18.31775:1684,442;
18.33314:1684,442;
18.34986:1684,442;
18.36821:1666,446;
18.38498:1878,538;
18.40062:1839,512;
18.41756:1779,502;
18.43415:1781,502;
18.45178:1757,488;
18.46801:1746,487;
18.48503:1777,506;
18.50043:1795,528;
18.51667:1812,539;
18.53328:1835,553;
18.5499:1835,560;
18.56748:1850,564;
18.58307:1852,565;
18.60077:1835,535;
18.61817:1832,531;
18.63569:1830,529;
18.65184:1830,529;
18.66862:1830,529;
18.68529:1830,529;
18.70158:1830,529;
18.71834:1830,529;
18.73467:1830,529;
18.75095:1830,529;
18.76911:1823,529;
18.78589:1772,447;
18.80225:1772,447;
18.81886:1769,441;
18.83536:1781,476;
18.85124:1762,463;
18.86738:1752,462;
18.88408:1752,462;
18.89947:1737,459;
18.91605:1737,459;
18.93322:1702,443;
18.94989:1703,444;
18.96652:1700,433;
18.9848:1694,421;
18.99983:1690,413;
19.01784:1660,400;
19.03311:1648,395;
19.05:1648,395;
19.06604:1662,367;
19.08321:1652,362;
19.10129:1633,349;
19.11882:1635,344;
19.13589:1556,325;
19.1521:1550,299;
19.16888:1534,298;
19.18583:1529,324;
19.20296:1529,324;
19.21742:1520,268;
19.23413:1520,268;
19.24993:1514,274;
19.2676:1510,269;
19.28363:1506,279;
19.3005:1501,297;
19.31727:1503,305;
19.33497:1514,315;
19.35147:1519,322;
19.36848:1535,323;
19.38537:1528,322;
19.40148:1524,316;
19.41782:1508,312;
19.43389:1505,312;
19.45013:1518,322;
19.46701:1536,336;
19.48316:1585,370;
19.49988:1585,370;
19.51918:1708,461;
19.53602:1734,480;
19.5509:1734,480;
19.56881:1826,547;
19.5859:1887,567;
19.6024:1887,567;
19.61973:1887,567;
19.63456:1894,570;
19.65195:1894,570;
19.66877:1758,479;
19.6867:1758,479;
19.70214:1758,479;
19.71804:1758,479;
19.73517:1758,479;
19.75128:1758,479;
19.76779:1758,479;
19.78347:1758,479;
19.79976:1758,479;
19.81618:1758,479;
19.83302:1758,479;
19.84987:1758,479;
19.86671:1758,479;
19.88321:1758,479;
19.89981:1758,479;
19.91675:1758,479;
19.93421:1546,410;
19.94988:1746,410;
