T1 fixation
11.56618:83,511;
11.58308:85,505;
11.59972:85,508;
11.61657:78,512;
11.63285:79,508;
11.64984:79,508;
11.66642:71,514;
11.68255:72,513;
11.69963:72,509;
11.71631:76,508;
11.73291:75,509;
11.7497:76,508;
11.76622:76,508;
11.78286:78,505;
11.80055:78,505;
11.81633:81,501;
11.83277:78,507;
11.84972:78,507;
11.86616:83,502;
11.88295:76,513;
11.89986:75,510;
11.91619:77,507;
11.93291:72,510;
11.94951:72,510;
11.96623:74,505;
11.98405:68,511;
11.99966:72,507;
12.01609:65,513;
12.03309:67,509;
12.05025:70,509;
12.06612:69,510;
12.0828:79,502;
12.09973:79,502;
12.11634:73,508;
12.13248:70,509;
12.14983:65,508;
12.1664:67,503;
12.183:67,505;
12.19985:66,504;
12.21616:72,500;
12.23284:69,503;
12.2497:69,503;
12.26645:82,494;
12.28266:81,495;
12.29967:78,498;
12.31637:80,499;
12.3336:80,499;
12.34949:77,502;
12.36624:77,503;
12.38283:76,503;
12.39985:76,503;
12.41632:73,507;
12.43432:58,512;
T15 fixation
14.26757:1792,512;
14.28298:1790,506;
14.30045:1789,503;
14.31638:1787,500;
14.33294:1786,500;
14.34998:1786,500;
14.36663:1787,501;
14.38269:1788,511;
14.40093:1786,511;
14.41639:1788,515;
14.4347:1786,512;
14.45089:1786,511;
14.46637:1787,511;
14.48394:1787,508;
14.4995:1787,508;
14.51611:1783,507;
14.5347:1781,506;
14.5498:1781,506;
14.56625:1781,512;
14.58292:1781,510;
14.59946:1778,506;
14.61617:1777,505;
14.63283:1775,505;
14.64956:1775,505;
14.66628:1774,505;
14.68446:1775,507;
14.69941:1785,512;
14.71603:1791,518;
14.7332:1795,522;
14.74964:1795,528;
14.76636:1797,528;
14.783:1796,527;
14.79969:1796,527;
14.81754:1799,519;
14.83273:1804,515;
14.8498:1803,515;
14.8665:1799,517;
14.88298:1794,516;
14.89961:1787,513;
14.91614:1787,511;
14.93299:1785,513;
14.95038:1785,513;
14.96613:1786,508;
14.98293:1787,508;
14.99951:1793,521;
15.0162:1794,524;
15.03303:1795,525;
15.04956:1793,519;
15.06625:1792,517;
15.0829:1791,517;
15.09955:1791,517;
15.11637:1789,517;
15.13382:1789,516;
15.14957:1792,518;
15.16631:1796,519;
15.18322:1795,520;
15.19971:1794,519;
15.21615:1794,517;
15.23292:1793,515;
15.25008:1793,515;
15.26764:1795,516;
15.28272:1789,512;
15.29962:1789,512;
15.31821:1784,517;
15.33301:1780,510;
15.34961:1781,520;
15.36623:1787,523;
15.38285:1788,523;
15.39986:1788,523;
15.41593:1797,528;
15.43268:1797,527;
15.45015:1797,527;
15.46611:1791,524;
15.48305:1789,524;
15.49956:1792,526;
15.51625:1791,525;
15.53291:1791,530;
15.5496:1791,530;
15.56639:1798,545;
15.58317:1798,545;
15.59964:1796,553;
15.61639:1797,551;
15.63302:1782,521;
15.64973:1775,527;
15.66623:1774,522;
15.68279:1784,520;
15.69967:1784,520;
15.71706:1788,515;
15.73304:1771,516;
15.74956:1772,513;
15.76626:1774,512;
15.7832:1793,510;
15.79963:1814,517;
15.81619:1818,516;
15.83291:1826,524;
15.84953:1826,524;
15.86628:1841,528;
15.88255:1840,521;
15.89973:1839,522;
15.91636:1839,534;
15.93295:1839,538;
15.94952:1838,538;
15.96671:1840,539;
15.98291:1837,543;
15.99945:1837,543;
16.01617:1823,534;
16.03316:1823,534;
16.04983:1839,517;
16.06818:1837,520;
16.08302:1839,522;
16.09967:1841,520;
16.11625:1837,526;
16.13294:1822,532;
16.14965:1822,532;
16.16633:1811,529;
16.18255:1795,529;
16.19962:1803,525;
16.21629:1806,527;
16.23303:1800,528;
16.24973:1797,533;
16.26636:1801,531;
16.28302:1803,545;
16.29966:1803,545;
16.31601:1812,546;
16.33262:1813,537;
16.3504:1813,537;
16.36627:1814,544;
16.38287:1817,545;
16.39958:1817,543;
16.41643:1815,536;
16.43299:1812,533;
16.44945:1812,533;
16.46624:1808,556;
16.48289:1809,543;
16.49954:1806,563;
16.51626:1798,555;
16.53292:1799,543;
16.54987:1803,549;
16.56616:1803,543;
16.58285:1807,538;
16.60062:1807,538;
16.61643:1812,535;
16.63251:1811,533;
16.65075:1810,530;
16.66647:1809,530;
16.68294:1805,524;
16.69971:1804,523;
16.71621:1793,526;
16.73289:1779,522;
16.74995:1779,522;
16.76637:1779,520;
16.78325:1778,521;
16.80001:1782,522;
16.81627:1799,525;
